"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2011"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2011"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2011"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2011"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2011"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2",2,"2011"
"Armenia",51,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Austria",40,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2011"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2011"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2011"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,5,6",5,"2011"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2011"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1,3,4",3,"2011"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2011"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2011"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2011"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"2011"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2011"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2011"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2011"
"Cameroon",120,"Africa","Less dev. region","No","Direct support","1,2,3,4",4,"2011"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Central African Republic",140,"Africa","Less dev. region","Yes","Indirect support","1",1,"2011"
"Chad",148,"Africa","Less dev. region","Yes","Direct support","1,2,5",3,"2011"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2011"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2011"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2011"
"Congo",178,"Africa","Less dev. region","No","Direct support","1",1,"2011"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3,4",4,"2011"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2011"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Direct support","1",1,"2011"
"Croatia",191,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Cuba",192,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Cyprus",196,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2011"
"Czech Republic",203,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2011"
"Democratic People's Republic of Korea",408,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Democratic Republic of the Congo",180,"Africa","Less dev. region","Yes","Direct support","1",1,"2011"
"Denmark",208,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2011"
"Djibouti",262,"Africa","Less dev. region","Yes","Direct support","1",1,"2011"
"Dominica",212,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2011"
"Dominican Republic",214,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2011"
"Ecuador",218,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2011"
"Egypt",818,"Africa","Less dev. region","No","Direct support","1",1,"2011"
"El Salvador",222,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2011"
"Equatorial Guinea",226,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2011"
"Eritrea",232,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2011"
