"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2005"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2005"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Armenia",51,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Austria",40,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2005"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2005"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2005"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,5,6",5,"2005"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2005"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1",1,"2005"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2005"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"2005"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2005"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2005"
"Cameroon",120,"Africa","Less dev. region","No","Indirect support","1,2,3,4",4,"2005"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Central African Republic",140,"Africa","Less dev. region","Yes","Indirect support","1",1,"2005"
"Chad",148,"Africa","Less dev. region","Yes","Direct support","1,2,5",3,"2005"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2005"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Congo",178,"Africa","Less dev. region","No","Direct support","1",1,"2005"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Direct support","1",1,"2005"
"Croatia",191,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Cuba",192,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Cyprus",196,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Czech Republic",203,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Democratic People's Republic of Korea",408,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Democratic Republic of the Congo",180,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Denmark",208,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Djibouti",262,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Dominica",212,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Dominican Republic",214,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Ecuador",218,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Egypt",818,"Africa","Less dev. region","No","Direct support","1",1,"2005"
"El Salvador",222,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2005"
"Equatorial Guinea",226,"Africa","Less dev. region","Yes","No support","1,2,3",3,"2005"
"Eritrea",232,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Estonia",233,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Ethiopia",231,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2005"
"Fiji",242,"Oceania","Less dev. region","No","Direct support","1,2,3,6",4,"2005"
"Finland",246,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2005"
"France",250,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Gabon",266,"Africa","Less dev. region","No","No support","1",1,"2005"
"Gambia",270,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Georgia",268,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Germany",276,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2005"
"Ghana",288,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Greece",300,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Grenada",308,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Guatemala",320,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Guinea",324,"Africa","Less dev. region","Yes","Indirect support","1,2,3",3,"2005"
"Guinea-Bissau",624,"Africa","Less dev. region","Yes","Indirect support","1",1,"2005"
"Guyana",328,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Haiti",332,"Latin Amer. & Caribbean","Less dev. region","Yes","Direct support","1",1,"2005"
"Holy See",336,"Europe","More dev. region","No","Limits","Not permitted",0,"2005"
"Honduras",340,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Hungary",348,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Iceland",352,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2005"
"India",356,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2005"
"Indonesia",360,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Iran (Islamic Republic of)",364,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Iraq",368,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Ireland",372,"Europe","More dev. region","No","Direct support","1",1,"2005"
"Israel",376,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5",5,"2005"
"Italy",380,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Jamaica",388,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Japan",392,"Asia","More dev. region","No","Indirect support","1,2,4,6",4,"2005"
"Jordan",400,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2005"
"Kazakhstan",398,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Kenya",404,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Kiribati",296,"Oceania","Less dev. region","Yes","Direct support","1",1,"2005"
"Kuwait",414,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2005"
"Kyrgyzstan",417,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Lao People's Democratic Republic",418,"Asia","Less dev. region","Yes","Direct support","1,2",2,"2005"
"Latvia",428,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2005"
"Lebanon",422,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Lesotho",426,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Liberia",430,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2005"
"Libya",434,"Africa","Less dev. region","No","No support","1",1,"2005"
"Liechtenstein",438,"Europe","More dev. region","No","No support","1,2,3",3,"2005"
