"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2013"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2013"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,4",3,"2013"
"Armenia",51,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Austria",40,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2013"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,5,6",5,"2013"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1,3,4",3,"2013"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2013"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2013"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"2013"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2013"
"Cameroon",120,"Africa","Less dev. region","No","Direct support","1,2,3,4",4,"2013"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Central African Republic",140,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Chad",148,"Africa","Less dev. region","Yes","Direct support","1,2,5",3,"2013"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2013"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Congo",178,"Africa","Less dev. region","No","Direct support","1",1,"2013"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3,4",4,"2013"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Direct support","1",1,"2013"
"Croatia",191,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Cuba",192,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Cyprus",196,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Czech Republic",203,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Democratic People's Republic of Korea",408,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Democratic Republic of the Congo",180,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Denmark",208,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Djibouti",262,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Dominica",212,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Dominican Republic",214,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2013"
"Ecuador",218,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Egypt",818,"Africa","Less dev. region","No","Direct support","1",1,"2013"
"El Salvador",222,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2013"
"Equatorial Guinea",226,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Eritrea",232,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Estonia",233,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Ethiopia",231,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Fiji",242,"Oceania","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"Finland",246,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"France",250,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Gabon",266,"Africa","Less dev. region","No","Direct support","1",1,"2013"
"Gambia",270,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Georgia",268,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Germany",276,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2013"
"Ghana",288,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Greece",300,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2013"
"Grenada",308,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Guatemala",320,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Guinea",324,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Guinea-Bissau",624,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Guyana",328,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Haiti",332,"Latin Amer. & Caribbean","Less dev. region","Yes","Direct support","1",1,"2013"
"Holy See",336,"Europe","More dev. region","No","Not permitted","Not permitted",0,"2013"
"Honduras",340,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Hungary",348,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Iceland",352,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"India",356,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"Indonesia",360,"Asia","Less dev. region","No","Direct support","1,4,5",3,"2013"
"Iran (Islamic Republic of)",364,"Asia","Less dev. region","No","No support","1,5",2,"2013"
"Iraq",368,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"Ireland",372,"Europe","More dev. region","No","Direct support","1",1,"2013"
"Israel",376,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5",5,"2013"
"Italy",380,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Jamaica",388,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Japan",392,"Asia","More dev. region","No","Indirect support","1,2,4,6",4,"2013"
"Jordan",400,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2013"
"Kazakhstan",398,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Kenya",404,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Kiribati",296,"Oceania","Less dev. region","Yes","Direct support","1",1,"2013"
"Kuwait",414,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2013"
"Kyrgyzstan",417,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Lao People's Democratic Republic",418,"Asia","Less dev. region","Yes","Direct support","1,2",2,"2013"
"Latvia",428,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2013"
"Lebanon",422,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"Lesotho",426,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Liberia",430,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Libya",434,"Africa","Less dev. region","No","No support","1",1,"2013"
"Liechtenstein",438,"Europe","More dev. region","No","No support","1,2,3",3,"2013"
"Lithuania",440,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Luxembourg",442,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6",6,"2013"
"Madagascar",450,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Malawi",454,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Malaysia",458,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Maldives",462,"Asia","Less dev. region","No","Direct support","1,2",2,"2013"
"Mali",466,"Africa","Less dev. region","Yes","Direct support","1,4",2,"2013"
"Malta",470,"Europe","More dev. region","No","No support","Not permitted",0,"2013"
"Marshall Islands",584,"Oceania","Less dev. region","No","Direct support","1",1,"2013"
"Mauritania",478,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Mauritius",480,"Africa","Less dev. region","No","Direct support","1",1,"2013"
"Mexico",484,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
