"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"1996"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3,4",4,"1996"
"Andorra",20,"Europe","More dev. region","No","No support","Not permitted",0,"1996"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"1996"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"1996"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","No support","1,2",2,"1996"
"Armenia",51,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6",6,"1996"
"Austria",40,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Azerbaijan",31,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"1996"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3",3,"1996"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"1996"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"1996"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"1996"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Belgium",56,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6",6,"1996"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,4,5,6",6,"1996"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1",1,"1996"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1",1,"1996"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,4",3,"1996"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"1996"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"1996"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"1996"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"1996"
"Bulgaria",100,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"1996"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2",2,"1996"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2",2,"1996"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"1996"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"1996"
"Cameroon",120,"Africa","Less dev. region","No","Indirect support","1,2,4",3,"1996"
"Canada",124,"Northern America","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Central African Republic",140,"Africa","Less dev. region","Yes","Direct support","1",1,"1996"
"Chad",148,"Africa","Less dev. region","Yes","Indirect support","1",1,"1996"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"1996"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"1996"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1",1,"1996"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2",2,"1996"
"Congo",178,"Africa","Less dev. region","No","Direct support","1,2",2,"1996"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"1996"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2",2,"1996"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Indirect support","1",1,"1996"
