"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2015"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2015"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2015"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2015"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2015"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,4",3,"2015"
"Armenia",51,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Austria",40,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2015"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2015"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2015"
"Belarus",112,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,5,6",5,"2015"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2015"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1,3,4",3,"2015"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2015"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2015"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2015"
"Brunei Darussalam",96,"Asia","Less dev. region","No","Direct support","1",1,"2015"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2015"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2015"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2015"
"Cameroon",120,"Africa","Less dev. region","No","Direct support","1,2,3,4",4,"2015"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Central African Republic",140,"Africa","Less dev. region","Yes","Direct support","1",1,"2015"
"Chad",148,"Africa","Less dev. region","Yes","Direct support","1,2,3,5",4,"2015"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2015"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5",5,"2015"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2015"
"Congo",178,"Africa","Less dev. region","No","Direct support","1",1,"2015"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3,4",4,"2015"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3",3,"2015"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Direct support","1",1,"2015"
"Croatia",191,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Cuba",192,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Cyprus",196,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2015"
"Czech Republic",203,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2015"
"Democratic People's Republic of Korea",408,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Democratic Republic of the Congo",180,"Africa","Less dev. region","Yes","Direct support","1",1,"2015"
"Denmark",208,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2015"
"Djibouti",262,"Africa","Less dev. region","Yes","Direct support","1",1,"2015"
"Dominica",212,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2015"
"Dominican Republic",214,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2015"
"Ecuador",218,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2015"
"Egypt",818,"Africa","Less dev. region","No","Direct support","1",1,"2015"
