"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2009"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2009"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2009"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2009"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2009"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1",1,"2009"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2009"
"Armenia",51,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2009"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2009"
"Austria",40,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2009"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2009"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2009"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2009"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2009"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2009"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2009"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2009"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,5,6",5,"2009"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2009"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1,3,4",3,"2009"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2009"
