"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Indirect support","1",1,"2003"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2003"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2003"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2003"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2003"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2003"
"Armenia",51,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2003"
"Austria",40,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2003"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2003"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2003"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2003"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,5,6",5,"2003"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1",1,"2003"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1",1,"2003"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2003"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2003"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2003"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2003"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"2003"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2003"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2003"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2003"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2003"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2003"
"Cameroon",120,"Africa","Less dev. region","No","Indirect support","1,2,3,4",4,"2003"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2003"
"Central African Republic",140,"Africa","Less dev. region","Yes","Indirect support","1",1,"2003"
"Chad",148,"Africa","Less dev. region","Yes","Direct support","1",1,"2003"
